date,gross_ret,cost,net_ret,nav,turnover
2021-01-04,0.0,0.0,0.0,1.0,0.0
2021-01-05,0.0,0.0,0.0,1.0,0.0
2021-01-06,0.0,0.0,0.0,1.0,0.0
2021-01-07,0.0,0.0,0.0,1.0,0.0
2021-01-08,0.0,0.0,0.0,1.0,0.0
2021-01-11,0.0,0.0,0.0,1.0,0.0
2021-01-12,0.0,0.0,0.0,1.0,0.0
2021-01-13,0.0,0.0,0.0,1.0,0.0
2021-01-14,0.0,0.0,0.0,1.0,0.0
2021-01-15,0.0,0.0,0.0,1.0,0.0
2021-01-18,0.0,0.0,0.0,1.0,0.0
2021-01-19,0.0,0.0,0.0,1.0,0.0
2021-01-20,0.0,0.0,0.0,1.0,0.0
2021-01-21,0.0,0.0,0.0,1.0,0.0
2021-01-22,0.0,0.0,0.0,1.0,0.0
2021-01-25,0.0,0.0,0.0,1.0,0.0
2021-01-26,0.0,0.0,0.0,1.0,0.0
2021-01-27,0.0,0.0,0.0,1.0,0.0
2021-01-28,0.0,0.0,0.0,1.0,0.0
2021-01-29,0.0,0.0,0.0,1.0,0.0
2021-02-01,0.0,0.0,0.0,1.0,0.0
2021-02-02,0.0,0.0,0.0,1.0,0.0
2021-02-03,0.0,0.0,0.0,1.0,0.0
2021-02-04,0.0,0.0,0.0,1.0,0.0
2021-02-05,0.0,0.0,0.0,1.0,0.0
2021-02-08,0.0,0.0,0.0,1.0,0.0
2021-02-09,0.0,0.0,0.0,1.0,0.0
2021-02-10,0.0,0.0,0.0,1.0,0.0
2021-02-18,0.0,0.0,0.0,1.0,0.0
2021-02-19,0.0,0.0,0.0,1.0,0.0
2021-02-22,0.0,0.0,0.0,1.0,0.0
2021-02-23,0.0,0.0,0.0,1.0,0.0
2021-02-24,0.0,0.0,0.0,1.0,0.0
2021-02-25,0.0,0.0,0.0,1.0,0.0
2021-02-26,0.0,0.0,0.0,1.0,0.0
2021-03-01,0.0,0.0,0.0,1.0,0.0
2021-03-02,0.0,0.0,0.0,1.0,0.0
2021-03-03,0.0,0.0,0.0,1.0,0.0
2021-03-04,0.0,0.0,0.0,1.0,0.0
2021-03-05,0.0,0.0,0.0,1.0,0.0
2021-03-08,0.0,0.0,0.0,1.0,0.0
2021-03-09,0.0,0.0,0.0,1.0,0.0
2021-03-10,0.0,0.0,0.0,1.0,0.0
2021-03-11,0.0,0.0,0.0,1.0,0.0
2021-03-12,0.0,0.0,0.0,1.0,0.0
2021-03-15,0.0,0.0,0.0,1.0,0.0
2021-03-16,0.0,0.0,0.0,1.0,0.0
2021-03-17,0.0,0.0,0.0,1.0,0.0
2021-03-18,0.0,0.0,0.0,1.0,0.0
2021-03-19,0.0,0.0,0.0,1.0,0.0
2021-03-22,0.0,0.0,0.0,1.0,0.0
2021-03-23,0.0,0.0,0.0,1.0,0.0
2021-03-24,0.0,0.0,0.0,1.0,0.0
2021-03-25,0.0,0.0,0.0,1.0,0.0
2021-03-26,0.0,0.0,0.0,1.0,0.0
2021-03-29,0.0,0.0,0.0,1.0,0.0
2021-03-30,0.0,0.0,0.0,1.0,0.0
2021-03-31,0.0,0.0,0.0,1.0,0.0
2021-04-01,0.0,0.0015,-0.0015,0.9985,0.5
2021-04-02,0.007458371647155742,0.0,0.007458371647155742,1.005947184089685,0.0
2021-04-06,0.00044634328831926156,0.0,0.00044634328831926156,1.006396181863707,0.0
2021-04-07,0.0030806932375806637,0.0,0.0030806932375806637,1.0094965797755016,0.0
2021-04-08,0.004403017837631651,0.0,0.004403017837631651,1.0139414112232814,0.0
2021-04-09,-0.011926052154009822,0.0,-0.011926052154009822,1.0018490930719224,0.0
2021-04-12,-0.02116727590192512,0.0,-0.02116727590192512,0.9806426769067755,0.0
2021-04-13,-0.0019418165538654091,0.0,-0.0019418165538654091,0.978738448723331,0.0
